abacı,asalak
adaptasyon,uyarlama
adapte,uyarlanmış
adaptör,uyarlayıcı
adavet,düşmanlık
aday,namzet
adaylık,Namzetlik
adçekme,Kura
adcı,isimci
addedilmek,sayılmak
addetmek,saymak
addolunmak,sayılmak
aded,sayıca
adedi,Sayıca
adele,Kas
adem,yokluk
ademiyet,yokluk
ademoğullari,Beniâdem
adese,mercek
adeta,Sanki
adetçe,sayıca
adetler,Anane
adil,Zamir
adilane,hakça
adileşmek,bayağılaşmak
adım,hamle
adımsayar,pedometre
adına,yerine
adini,Gıyaben
adisyon,hesap
adl,Marûf
adlandırma,Tesmiye
adlı,ünlü
adres,bulunak
adsız,isimsiz
adsorpsiyon,Yüzerme
af,Bağışlama
afacan,Yaramaz
afacanlık,Yaramazlık
afak,ufuklar
afakan,hafakan
afaki,hayalî
afakilik,Nesnellik
afallamak,Şaşırmak
afat,afetler
afedersiniz,Pardon
aferim,Bravo
aferin,bravo
aferist,dalavereci
afet,kıran
afetler,Afat
affan,Te­Miz
affeden,Gâfir
affedilme,bağışlanma
affedilmek,bağışlanmak
affetme,bağışlama
affeylemek,affetmek
affolmak,bağışlanmak
affolunmak,bağışlanmak
afgan,Afganlı
afganlı,Afgan
afi,caka
afili,çalımlı
afiş,ası
afişe,duyulmuş
afiyet,esenlik
afiyetle,keyifle
aforizm,özdeyiş
aforizma,özdeyiş
aforozlamak,kovmak
aforozlu,uzaklaştırılmış
afşar,Avşar
afşin,Zırh
afsun,büyü
afsuncu,büyücü
afsunlamak,büyülemek
afsunlanmak,büyülenmek
afsunlu,büyülü
aft,Pamukçuk
afyonkeş,Adembaba
afyonlamak,uyutmak
ağ,tuzak
ağa,ağabey
ağababa,ata
ağabey,aka
ağaççık,Şüceyne
ağacımsı,ağaçsı
ağaçküpesi,hatmi
ağaçlamak,ağaçlandırmak
ağaçlık,Orman
ağaçsı,ağacımsı
agactan,Ahşap
ağalık,Cömertlik
agaragar,jeloz
ağarık,Aklaşmış
ağarma,Beyazlanma
ağarmak,beyazlaşmak
ağartılmak,beyazlatılmak
ağartma,Beyazlatma
ağartmak,beyazlatmak
ağcı,Ağıcı
ağdacı,Şeker
ağdalaşmak,ağdalanmak
ağdalı,ağdalanmış
ağdalık,Viskozite
ağdaş,Netizen
ağı,zehir
ağıl,hale
ağılama,zehirleme
ağılamak,zehirlemek
ağılanmak,zehirlenmek
ağılı,zehirli
ağıllanmak,halelenmek
ağım,Yükseliş
ağırbaş,Olgun
ağırbaşlı,gösterişli
ağırca,Andante
ağırcanlı,tembel
ağırkanlı,ağırcanlı
ağırlama,izaz
ağırlaşmak,zorlaşmak
ağırlaştırmak,Yavaşlatmak
ağırlıklı,Değerlendirmelerde
ağırsamak,yüksünmek
ağıtçı,mersiyehan
ağız,kavşak
ağızcıl,oral
ağızlık,Huni
ağızotu,Yem
ağızsız,sessiz
ağlak,ağlamaklı
ağlamak,yakınmak
ağlamaklı,ağlamsı
ağlamalı,ağlamaklı
ağlamsı,ağlamaklı
ağlaşma,Tazallüm
ağlaşmak,sızlanmak
ağlatı,trajedi
ağlayıcı,ağıtçı
ağlı,Şalvar
aglütinasyon,kümeleşim
agnosi,tanısızlık
agnostik,bilinemezci
agnostisizm,bilinemezcilik
agnozi,Tanısızlık
agraf,kopça
agrandisman,büyültme
agrandisör,büyülteç
ağraz,garazlar
agrega,katışmaç
agreman,uygunluk
agresif,saldırgan
ağrılı,Acılı
ağrısız,tasasız
ağu,Zehir
ağulu,Zehirli
aguş,kucak
ağyar,eller
ağzından,Adına
ah,beddua
aha,işte
ahacık,işte
ahan,İşte
ahbapça,teklifsizce
ahbaplık,ünsiyet
ahcar,taşlar
ahdetmek,Andetmek
ahenkli,düzenli
ahenklilik,Uyumluluk
ahenksiz,düzensiz
ahenktar,ahenkli
aheste,ağır
ahid,Antlaşma
ahilik,cömertlik
ahir,sonunda
ahırdaş,eküri
ahiren,yakınlarda
ahiretlik,ahretlik
ahitleşmek,antlaşmak
ahitname,antlaşma
ahize,Alıcı
ahk,hükümler
ahkam,Hükümler
ahlak,sağtöre
ahlakça,ahlaken
ahlakçı,moralist
ahlaken,ahlakça
ahlaki,sağtöresel
ahlaksız,terbiyesiz
ahlaksızca,ahlaksızcasına
ahlaksızcasına,ahlaksızca
ahlat,ögeler
ahmak,aptal
ahmakça,aptalca
ahmakıslatan,çisenti
ahmaklaşmak,aptallaşmak
ahmaklaştırmak,aptallaştırmak
ahretlik,Beslek
ahşa,bağır
ahşap,Tahta
ahtapot,polip
ahu,ceylan
ahududu,frambuaz
ahzüita,aksata
aidat,ödenti
aidiyet,ilişkinlik
ailece,ailecek
ailecek,ailece
aişe,Ayşe
ait,ilgili
aitlik,Vergi
ajan,temsilci
ajanda,andaç
ajitasyon,çırpıntı
ajitatör,kışkırtıcı
ajite,kışkırtılmış
ajur,gözenek
ajurlu,gözenekli
aka,ağabey
akabe,Tehlikeli
akaçlama,drenaj
akademi,Yüksekokul
akaju,maun
akak,yatak
akamber,Yapışkan
akamet,verimsizlik
akan,Cari
akar,akaret
akarca,fistül
akaret,akar
akbaba,ihtiyar
akbasma,katarakt
akburçak,Baklagillerden
akça,beyazca
akçakesme,kesme
akçalama,Finansman
akçalı,Malî
akçasal,parasal
akçayel,Keşişleme
akçe,akça
akçeli,mali
akçıl,ağarmış
akçöpleme,Zambakgillerden
akdarı,darı
akdem,Önce
akdoğan,aksungur
akedemi,Akademi
akı,seyelan
akıcı,selis
akıcılık,selaset
akide,inanç
akıf,Vakıf
akılalmaz,inanılmaz
akilane,akıllıca
akıllandırma,Durumu
akıllanmak,uslanmak
akıllıca,akilane
akıllıcasına,akıllıca
akıllılık,uyanıklık
akılsal,Akli
akılsız,Düşüncesiz
akılsızca,akılsızcasına
akılsızcasına,akılsızca
akim,başarısız
akımlı,Cereyanlı
akımölçer,ampermetre
akımtoplar,akümülatör
akın,Hücum
akıntı,cereyan
akıntılı,meyilli
akış,akın
akışkan,seyyal
akışkanlık,likidite
akışmaz,durağan
akışsız,ilerlemeyen
akıtma,İsale
akıtmak,dökmek
akkarıncalar,termitler
akkor,Nârıbeyza
akkuş,atmaca
aklama,ibra
aklan,maile
aklanma,Beraat
aklanmak,temizlenmek
aklaşmak,beyazlaşmak
aklaştırmak,beyazlaştırmak
aklen,Akılca
akli,akılsal
aklık,Düzgün
aklın,Gerçeküstücülük
aklıselim,sağduyu
akliye,akılcılık
akliyeci,usçu
akma,akındırık
akman,temiz
akmaz,gölet
akor,Uygu
akordeon,akordiyon
akordeoncu,akordiyoncu
akordiyon,armonika
akordiyoncu,Akordeoncu
akortlu,Alışık
akortsuz,uyumsuz
akpelin,pelin
akraba,Hısımlar
akranlık,Yaşıtlık
akreditasyon,denklik
akrilik,Renksiz
akrobasi,cambazlık
akrobat,cambaz
akrobatlık,Cambazlık
akromatik,renksemez
akromegali,Çene
akrostiş,tevşih
aks,dingil
aksakal,duayen
akşamcı,Sarhoş
akşamüstü,akşamüzeri
akşamüzeri,akşamüstü
aksan,vurgu
aksata,ahzüita
aksatmamak,Sektirmemek
aksayan,Aksak
akse,kriz
akselerograf,ivmeyazar
akselerometre,ivmeölçer
akseptans,kabul
aksettirmek,duyurmak
aksilenmek,huysuzlanmak
akşın,albinos
aksine,tersine
akşınlık,Albinizm
aksırıklı,hapşırıklı
aksırma,Hapşırma
aksırmak,hapşırmak
aksırtmak,hapşırtmak
aksiseda,yankı
aksiyom,belit
aksiyon,iş
aksiyoner,hissedar
aksu,katarakt
aksülamel,reaksiyon
aksuna,basınçlanma
aksungur,akdoğan
aktaran,Nâkil
aktarılan,Dökme
aktarılma,Devir
aktarım,nakil
aktifleşmek,Canlıhareketli
aktiflik,Etkinlik
aktivite,etkinlik
aktivizm,eylemcilik
aktöre,ahlak
aktöreci,ahlakçı
aktöresel,ahlaki
aktüalist,edimselci
aktüalite,güncellik
aktüalizm,edimselcilik
aktüelleşme,güncelleşme
aktüelleşmek,güncelleşmek
aktüelleştirme,güncelleştirme
aktüelleştirmek,güncelleştirmek
akü,akümülatör
akuapark,Akualand
akümülatör,akü
akur,kuduruk
akustik,yankılanım
akut,iveğen
akva,sağlam
akvam,kavimler
akvarist,akvaryumcu
akvaryumcu,akvarist
akyuvar,lökosit
alabildiğine,Azami
alaca,ala
alacakarga,saksağan
alacalı,alaca
alaçık,Çardak
alafrangalık,Batılıcalık
alaimisema,gökkuşağı
alaka,İlgi
alakadar,ilgili
alakalandırmak,ilgilendirmek
alakalanmak,ilgilenmek
alakalı,ilgili
alakanın,İlgi
alakarga,saksağan
alakasız,ilgisiz
alakok,Rafadan
alalama,kamuflaj
alalamak,gizlemek
alamana,alamanata
alamanata,alamana
alamerikan,Amerikansı
alamet,nişan
alaminüt,çabuk
alarga,engin
alarmak,kızarmak
alası,Erek
alaşım,halita
alaten,cüzzamlı
alaturka,yöntemsiz
alaturkacı,Söyleyen
alaturkalık,Doğulucalık
alavere,kargaşalık
alavereci,vurguncu
alaverecilik,Vurgunculuk
alaycı,müstehzi
alayişli,gösterişli
alaylı,debdebeli
alaysilama,İroni
alaz,yalaz
albasma,albastı
albastı,albasma
albay,miralay
albaylık,Miralaylık
albeni,çekicilik
albenili,alımlı
albenisi,Çekicileşmek
albenisiz,alımsız
albinos,akşın
albüm,Uzunçalar
alçakça,sefihane
alçaklaşmak,bayağılaşmak
alçaklık,şenaat
alçalma,zül
alçaltı,zillet
alçaltmak,Kısmak
alçılatmak,sıvatmak
aldangıç,Tuzak
aldanma,İgtirâr
aldanmak,oyalanmak
aldatan,Ferib
aldatı,Safsata
aldırışsız,umursamayan
aldırmak,getirtmek
aldırmamak,Tınmamak
aldırmaz,lakayıt
alegori,yerine
alegorik,yerinel
alelacayip,bambaşka
alelacele,çabucak
alelade,olağan
aleladelik,Herkeslik
alelhusus,özellikle
alelumum,genellikle
alemci,Harabi
alemdar,önder
alemşumul,Evrensel
alenen,açıkça
alengir,tuzak
alengirli,yakışıklı
aleniyet,açıklık
alerjen,Duyargan
alesta,tetikte
alet,aygıt
alev,şule
alevilik,Şah
alevlendirilmek,tutuşturulmak
alevlendirmek,tutuşturmak
alevlenme,İştial
alevlenmek,öfkelenmek
alevli,alevlenmiş
aleyhtar,karşıtçı
aleyhtarlık,Karşıtçılık
alfabe,Abece
alfabenin,Abece
alfabetik,abecesel
alfenit,Çinko
algı,alacak
algılayıcı,dedektör
algın,hastalıklı
ali,yüksek
alıç,Akdiken
alicenap,şerefli
alıcı,azrail
alık,ebleh
alıklaşmak,aptallaşmak
alıklık,Belahet
alıkonulmak,Menedilmek
alil,sakat
alımcı,tahsildar
alımlı,cazibedar
alimlik,Bilginlik
alımlılık,Çekicilik
alın,Karşı
alınan,Alıngan
alındı,makbuz
alındılı,taahhütlü
alıngan,kırılan
alınganlık,Sitem
alınmış,Münfail
alıntı,iktibas
alışılmadık,olağanüstü
alışılmak,Yerleşmek
alışılmış,mutat
alışkan,alışkın
alışkı,görenek
alışkın,alışmış
alışmış,alışkın
alışmışlık,Alışkanlık
alıştırma,talim
alışveriş,muamele
aliyyül,mükemmel
alkalik,antiasit
alkalimetre,alkalölçer
alkalölçer,alkalimetre
alkan,parafin
alkım,gökkuşağı
alkışçı,Şakşakçı
alkolik,Sarhoş
alkollü,İçkili
alkolmetre,alkolölçer
alkolölçer,alkolmetre
allah,tanrı
allahlık,Saf
allahsız,tanrısız
allamak,Süslemek
allegro,Canlı
alman,Feldmareşal
almanak,yıllık
almanca,Almanya
almansever,germanofil
almaş,münavebe
almaşık,alternatif
almila,Elma
alnaç,Cephe
alogami,tozlaşma
alotropi,Karbon
alp,kahraman
alper,Babayiğit
alperen,derviş
alpinist,dağcı
alpinizm,dağcılık
alşimi,simya
alşimist,simyacı
alt,madun
altan,Kağan
alternat,Almaşık
alternatif,seçenek
alternatifli,seçenekli
alternatifsiz,seçeneksiz
altıgen,müseddes
altıkardeş,zatülkürsi
altimetre,yükseklikölçer
altın,değerli
altınımsı,altınsı
altının,Değerli
altınsı,altınımsı
altıntop,greyfurt
altıpatlar,revolver
altkurul,Encümen
alto,viyola
altun,Altın
altüst,Karmakarışık
alümin,Alümina
alüvyon,lığ
alyuvar,eritrosit
am,ferç
amacıyla,İçin
amaçlama,istihdaf
amaçlanan,Maksut
amaçlı,gayeli
amaçsız,gayesiz
amade,hazır
amale,İşçi
amalgam,malgama
aman,Sertlik
amansızca,amansızcasına
amansızcasına,amansızca
amatör,acemi
ambalajlı,ambalajlanmış
ambalajsız,ambalajlanmamış
ambargo,engelleyim
ambarlama,depolama
ambarlamak,depolamak
amberbaris,sarıçalı
amberbu,Hindistanda
ambiyans,hava
amblem,belirtke
ambulans,cankurtaran
ameliyat,faaliyetler
ameliye,kılgı
amenajman,düzenleyim
amenna,DOĞRU
amerikalı,amerikan
amerikanizm,amerikancılık
amfi,amfiteatr
amfibi,yüzergezer
amfibol,Esmer
amfiteatr,amfi
amfora,Amfor
amık,Derin
amil,faktör
amip,Amitoz
amirane,amirce
amirce,amirane
amirler,Ümera
amit,Armut
amitoz,Amip
amiyane,sıradan
amma,ama
amme,kamu
amonyaklamak,doyurmak
amor,aşk
amorf,biçimsiz
amortisör,yumuşatmalık
ampermetre,akımölçer
amperölçer,akımölçer
ampirik,görgül
ampirist,deneyci
ampirizm,deneycilik
amplifikatör,yükselteç
ampul,İçinde
amudi,dikey
amut,dikme
anabolizma,özümleme
anacık,Sevimli
anaerki,Maderşahilik
anaerkil,matriarkal
anaerobik,Yetişebilen
anafor,girdap
anaforcu,Bedavacı
anaforlu,cereyanlı
anagram,Evirmece
anahtar,komütatör
anahtarcı,çilingir
analık,Annelik
analıkızlı,yuvalama
analist,çözümleyici
analitik,çözümlemeli
analiz,çözümleme
analizör,çözümler
analog,eş
analoji,andırış
anamal,sermaye
anamalcı,kapitalist
anamalcılık,Kapitalizm
anamnez,anamnezi
anamnezi,anamnez
anane,gelenek
ananeci,gelenekçi
ananevi,geleneksel
anarşi,kargaşa
anarşik,kargaşalı
anarşist,kargaşacı
anarşizm,kargaşacılık
anasıl,Kökten
anasır,ögeler
anatomi,teşrih
anatomici,Gövdebilimci
anavaşya,Katavaşya
anayasa,kanunuesasi
anayol,Cadde
anbar,Ambar
anbean,giderek
anca,öyle
ancak,Yalnız
ançüez,Pizza
and,Antlığ
andaval,andavallı
andavallı,andaval
andık,Sırtlan
andırış,analoji
andırışma,analoji
andırma,Benzeme
andırmak,çağrıştırmak
andız,servi
anekdot,hikâyecik
anemi,kansızlık
anemik,kansız
anemometre,yelölçer
angaje,bağlanmış
angajman,bağlantı
angajmanlı,bağlantılı
angajmansız,bağlantısız
angarya,yüklenti
angıç,Kanat
angın,meşhur
anglikan,Protestanlık
anglosakson,Frenk
angutça,bönce
angutlaşmak,bönleşmek
anı,Hatıra
anide,ansızın
aniden,ansızın
anif,kaba
anık,hazır
anıklamak,hazırlamak
anıklık,Uyanıklık
anılan,Angın
anılar,Hatırat
anılmak,hatırlanmak
animasyon,canlandırma
animatör,canlandırıcı
animizm,canlıcılık
anımsama,hatırlama
anımsamak,Hatırlamak
anımsanış,hatırlanış
anımsanma,hatırlanma
anımsanmak,hatırlanmak
anımsatılma,hatırlatılma
anımsatılmak,hatırlatılmak
anımsatış,hatırlatış
anımsatma,hatırlatma
anımsatmak,hatırlatmak
anımsayabilme,hatırlayabilmek
anımsayış,hatırlayış
anımsayıverme,hatırlayıverme
anımsayıvermek,hatırlayıvermek
anında,çabucak
anının,Hatıra
anıs,Anuş
anıştırma,telmih
anıt,Abide
anıtkabir,Mozole
anıtlaşma,abideleşme
anıtlaşmak,abideleşmek
anıtlaştırma,abideleştirme
anıtlaştırmak,abideleştirmek
anıtsal,abidevi
anıtsı,abidemsi
anjin,hunnak
anjiyo,anjiyografi
anjiyografi,anjiyo
anka,zümrüdüanka
anket,soruşturma
anketçi,anketör
anketör,anketçi
anlak,zekâ
anlaklı,zeki
anlama,vukuf
anlamadan,Körlemeden
anlamadım,Buyur
anlamak,yararlanmak
anlamaz,Bilmez
anlamca,mealen
anlamında,Bereket
anlamla,Gösterge
anlamlandırmak,İfadelendirmek
anlamlar,Meâni
anlamlı,manalı
anlamsal,semantik
anlamsız,manasız
anlar,Bilir
anlaşılamayan,Düğüm
anlaşılan,muhtemelen
anlaşılmayan,Muamma
anlaşılmaz,muğlak
anlaşma,konvansiyon
anlaşmalı,Tüzül
anlaşmaya,Uzlaşmazlık
anlatıcı,Hikâye
anlatılan,Nakli
anlatış,takrir
anlayışı,Tutuculuk
anlayışla,Tatlılıkla
anlayışlı,hoşgörülü
anlayışsız,gabi
anma,ihtifal
annelik,Analık
ano,Anuko
anoloji,Kıyas
anomali,sapaklık
anonsör,sunucu
anorak,Başlıklı
anorganik,inorganik
anormal,deli
ansambl,topluluk
ansiklopedi,bilgilik
ansiklopedici,ansiklopedist
ansiklopedik,Bilgiliksel
ansiklopedist,ansiklopedici
ansımak,Anımsamak
ansız,akılsız
ansızın,vehleten
antagonist,düşman
antagonizm,düşmanlık
antagonizma,tezat
antant,mutabakat
anten,duyarga
antet,başlık
antetli,başlıklı
antetsiz,başlıksız
anti,Muzad
antiasit,alkalik
antidot,panzehir
antifriz,Donmaönler
antijen,Virüs
antik,antika
antika,tuhaf
antikite,eskilik
antimon,Sb
antinomi,çatışkı
antiparazit,asalaksavar
antipati,iticilik
antipatik,soğuk
antipatikleşme,sevimsizleşme
antipatikleşmek,sevimsizleşmek
antipatikleştirme,sevimsizleştirme
antipatikleştirmek,sevimsizleştirmek
antiseptik,Arıtkan
antite,Varlık
antitoksin,antitoksik
antlaşma,pakt
antlaşmak,ahitleşmek
antoloji,Seçki
antrakt,ara
antrasit,Koku
antre,giriş
antrenman,alıştırma
antrenmanlı,idmanlı
antrenmansız,idmansız
antrenör,çalıştırıcı
antrenörlü,çalıştırıcılı
antrenörlük,Çalıştırıcılık
antrenörsüz,çalıştırıcısız
antrepo,depo
antropoit,insansı
antropoitler,insansılar
antroposantrist,insanmerkezci
antroposantrizm,insanmerkezcilik
antrparantez,ayrıca
anüs,şerç
anyon,eksin
anyway,Besides
anzarot,rakı
apak,Bembeyaz
apandisit,Yangısı
apansız,ansızın
apansızın,ansızın
aparat,Aygıt
aparey,cihaz
aparmak,çalmak
apaş,hayta
apatit,Doğada
apaydın,bilgili
apayrı,bambaşka
apaz,avuç
apazlamak,avuçlamak
apiko,tetik
apışık,şaşkın
apışmak,şaşırmak
aplikasyon,uygulama
apolet,omuzluk
aposteriori,sonsal
apotr,havari
aprelemek,perdahlamak
april,nisan
apriori,önsel
apse,çıban
apsis,koordinat
aptal,ahmak
aptalca,aptalcasına
aptalcasına,aptalca
aptallaşmak,ahmaklaşmak
aptallaştırmak,ahmaklaştırmak
apteriks,Kivi
araba,Otomobil
arabalık,Garaj
arabanın,Otomobil
arabası,Soğuk
arabi,arapça
arabizasyon,araplaştırma
arabozan,ordubozan
aracı,vasıta
aracılığıyla,yoluyla
araçlar,Vesait
araçlı,vasıtalı
araçsız,bilavasıta
araf,Geçit
arafat,Hacıların
arak,çalma
araka,Bezelye
arakçı,araklayıcı
araklama,aşırma
araklamak,aşırmak
aralamak,seyrekleştirmek
aralı,Fasılalı
aralıklı,espaslı
arama,taharri
aramak,yoklamak
aranılan,Matlup
aranje,düzenlenmiş
aranjman,düzenleme
aranjör,düzenleyici
arapça,arabi
arapçalaştırma,arabizasyon
arapsaçı,Küçük
arasız,vira
araştırı,araştırma
araştırıcı,mütecessis
araştırma,taharri
araştırmacı,araştırman
araştırmak,soruşturmak
araştırmalar,Tetkikat
araştırman,araştırıcı
aratmak,özletmek
arayüz,Grafiklerin
arazi,toprak
arbalet,Kundaklı
arbitraj,Tahvil
arda,ardıl
ardıl,halef
ardılmak,çatmak
ardışık,mütevali
ardiye,depo
arefe,Arife
arena,Yarış
areometre,sıvıölçer
argaç,atkı
argın,bitkin
argo,jargon
arıca,Arca
arıcı,Beslenme
arif,Bilgili
arifane,Biçimde
arık,ark
arılama,tenzih
arılanma,arılaşma
arılanmak,arılaşmak
arılaşma,özleşme
arılaşmak,özleşmek
arılaştırma,özleştirme
arılaştırmak,özleştirmek
arin,Arçuk
arınık,sterilize
arınma,temizlenme
arınmak,temizlenmek
arış,çözgü
aristocu,aristotelesçi
aristokrat,soylu
aristotelesçi,gezimci
arıtıcı,deterjan
arıtım,rafinaj
arıtımevi,rafineri
arıtkan,Antiseptik
arıtma,Tasfiye
aritmik,düzensiz
ariya,Sancağı
ariyet,Ödünçleme
arız,Bulaşmış
arızalanma,bozulma
arızalanmak,bozulmak
arızalar,Sapma
arızalı,engebeli
arızasız,düz
arızi,eğreti
ark,arık
arkabahçe,hinterlant
arkaç,ağıl
arkadaş,refik
arkadaşça,dostça
arkadaşım,Mirim
arkadaşlar,Çocuklar
arkaik,Eskicil
arkalama,müzaheret
arkalayan,Müzahir
arkalıç,Arkalık
arkasına,Siper
arkasız,Koruyucusu
arkeoloji,Kazıbilim
arlanmak,utanmak
arlanmaz,sıkılmaz
arlı,sıkılgan
arma,Ongun
armada,donanma
armador,Seren
armatür,Donatı
armoni,harmoni
armonika,akordiyon
armonyum,harmonyum
armudumsu,armutsu
armutsu,armudumsu
arnika,öküzgözü
aromatik,Aromalı
arp,Harp
arpa,rüşvet
arşınlamak,Amaçsız
arsıulusal,uluslararası
arşiv,belgelik
arşivci,belgelikçi
arsızca,arsızcasına
arsızcasına,arsızca
arslan,aslan
artağan,artımlı
artar,Faiz
artçı,dümdar
arter,atardamar
artı,+
artikülasyon,boğumlanma
artım,çoğalma
artımlı,artağan
artın,katyon
artıran,Zait
artırım,tasarruf
artırma,Çoğaltma
artış,çoğalış
artist,sanatkâr
artistik,sanatlı
artroz,İltihapsız
arttırma,İlâve
arttırmak,yükseltmek
artuç,Mızrak
arya,Aria
arz,sunma
arzetmek,Sunmak
arzulamak,istemek
arzular,Marziyat
arzulu,hevesli
aş,Yemek
asabileşmek,sinirlenmek
asabiyet,sinirlilik
aşağı,kötü
aşağıda,Dun
aşağılanma,Tezellül
aşağılaşma,mezellet
aşağıya,Aşağı
asal,esasi
asalaklık,Parazitlik
asalaksavar,antiparazit
asalet,soyluluk
asaletli,soylu
aşama,etap
aşamalı,kademeli
asamble,kurul
aşan,Transandantal
asap,Sinir
asar,eserler
aşari,ondalık
asayiş,güvenlik
aşçı,lokanta
aşçıbaşı,Ahçıbaşı
aşçılık,Ahçılık
aşerat,onluklar
aşermek,tiksinmek
asetat,saydam
asetilen,Renksiz
aşevi,aşhane
asfalt,Asfaltlanmış
asgari,minimal
aşhane,aşevi
asidimetre,asitölçer
aşik,saklamadan
aşikar,Belli
aşılama,ilkah
aşılamak,etkilemek
aşılanma,döllenme
asilik,başkaldırıcılık
asıllar,Usul
asıllı,kökenli
aşılması,Çember
asılsız,uydurma
asıltı,süspansiyon
asilzade,soylu
asimetri,bakışımsızlık
asimetrik,bakışımsız
asimilasyon,özümleme
asimptot,sonuşmaz
aşina,tanıdık
aşındırıcı,korozif
aşındırma,korozyon
aşınım,erozyon
aşınma,korozyon
aşınmak,yıpranmak
aşınmaz,aşınmayan
asıntı,tavik
aşıramento,aşırma
aşiret,oymak
aşırı,çok
aşırıcılık,Aşırmacılık
aşırılmak,Uçmak
aşirilmiş,Aşırma
asırlarca,yüzyıllarca
asırlık,yüzyıllık
aşırma,ihtilas
aşırmak,araklamak
aşırtı,aşırma
aşırtmak,aşırmak
asist,Yardımcı
asistan,yardımcı
asit,hamız
asitölçer,asidimetre
aşiyan,mesken
aşk,amor
askar,Kuyruk
asker,er
askerce,askercesine
askercesine,askerce
askeriye,askerlik
askı,fener
askılık,vestiyer
aşkın,fazla
aşlamak,Aşılamak
aslan,arslan
aslanca,yiğitçe
aslancasına,aslanca
aslanımsı,aslansı
aslanpençesi,şirpençe
aslansı,aslanımsı
aslansütü,rakı
asli,birincil
aslık,Zahire
asliye,esas
asma,asılı
asortik,sosyetik
asparagas,uydurma
aspiratör,emmeç
asri,çağdaş
asrileşme,çağdaşlaşma
asrileşmek,çağdaşlaşmak
asrileştirme,çağdaşlaştırma
asrileştirmek,çağdaşlaştırmak
asrısaadet,devrisaadet
association,Organization
ast,madun
astarlamak,Boyacılıkta
astarlı,astarlanmış
astat,Astatin
astatin,astat
